paper_id	affiliation_string	labels	labels_name	institution1	institution2	dataset
W3205691848	Department of Orthopaedic and Trauma Surgery, Vienna General Hospital, Medical University of Vienna, Vienna, Austria.	[2802328216, 76134821]	['2802328216 - Vienna General Hospital', '76134821 - Medical University of Vienna']	Medical University of Vienna	Vienna General Hospital	cwts_multi_inst_related
W1970268890	Max F. Perutz Laboratories, University Departments at the Vienna Biocenter, Department of Medical Biochemistry, Division of Biochemistry, University of Vienna, Vienna, Austria	[2802916955, 4210142901, 129774422]	['2802916955 - Max F. Perutz Laboratories', '4210142901 - Vienna Biocenter', '129774422 - University of Vienna']	University of Vienna	Max F. Perutz Laboratories	cwts_multi_inst_related
W1607650254	Centre of Clinical Research Excellence in Nutritional Physiology, School of Medicine, University of Adelaide, Royal Adelaide Hospital, Adelaide, SA, Australia.	[1320133117, 5681781]	['1320133117 - Royal Adelaide Hospital', '5681781 - University of Adelaide']	University of Adelaide	Royal Adelaide Hospital	cwts_multi_inst_related
W2745047077	Department of Medicine, The Royal Melbourne Hospital, The University of Melbourne, VIC 3052, Australia	[1320473756, 165779595]	['1320473756 - Royal Melbourne Hospital', '165779595 - University of Melbourne']	University of Melbourne	Royal Melbourne Hospital	cwts_multi_inst_related
W2148424733	Department of Hematology, Royal Melbourne Hospital, University of Melbourne, Parkville, Victoria, Australia	[1320473756, 165779595]	['1320473756 - Royal Melbourne Hospital', '165779595 - University of Melbourne']	University of Melbourne	Royal Melbourne Hospital	cwts_multi_inst_related
W2734358987	Murdoch Children’s Research Institute, Royal Children’s Hospital and Department of Paediatrics, The University of Melbourne, Parkville, VIC, Australia	[1321649718, 4210150290, 165779595]	["1321649718 - Royal Children's Hospital", "4210150290 - Murdoch Children's Research Institute"]	University of Melbourne	Royal Children's Hospital	cwts_multi_inst_related
W2029283342	Department of Obstetrics and Gynaecology, Royal Women's Hospital, The University of Melbourne, Parkville, Victoria 3053, Australia	[1331142282, 165779595]	["1331142282 - Royal Women's Hospital", '165779595 - University of Melbourne']	University of Melbourne	Royal Women's Hospital	cwts_multi_inst_related
W2086711123	Australian Centre for Blood Diseases, Department of Medicine, Monash Medical School, Box Hill Hospital, Box Hill, Victoria 3128, Australia.	[1342782366,56590836]	['1342782366 - Box Hill Hospital']	Box Hill Hospital	Monash University	cwts_multi_inst_related
W2064528779	Department of Medicine (Dermatology), Royal Prince Alfred Hospital at University of Sydney, NSW, Australia.	[2799732068, 129604602]	['2799732068 - Royal Prince Alfred Hospital', '129604602 - University of Sydney']	University of Sydney	Royal Prince Alfred Hospital	cwts_multi_inst_related
W1576685814	Clinical and Population Perinatal Health Research, Kolling Institute, University of Sydney at Royal North Shore Hospital, St Leonards, Australia	[2800079252, 129604602]	['2800079252 - Royal North Shore Hospital', '129604602 - University of Sydney']	University of Sydney	Royal North Shore Hospital	cwts_multi_inst_related
W3185820121	John Walsh Centre for Rehabilitation Research, Level 12, Kolling Institute of Medical Research, Royal North Shore Hospital, St Leonards.	[2800079252]	['2800079252 - Royal North Shore Hospital']	Royal North Shore Hospital	University of Sydney	cwts_multi_inst_related
W4213286786	John Hunter Hospital, University of Newcastle, Neurology, Australia.	[2800479947, 78757542]	['2800479947 - John Hunter Hospital']	University of Newcastle Australia	John Hunter Hospital	cwts_multi_inst_related
W2127204804	Trauma, Liverpool Hospital, University of New South Wales, Sydney, Australia	[2800849109, 31746571]	['2800849109 - Liverpool Hospital', '31746571 - UNSW Sydney']	UNSW Sydney	Liverpool Hospital	cwts_multi_inst_related
W2229811649	Centre for Inflammatory Diseases, Department of Medicine, Monash Medical Centre, Monash University, Clayton, Vic 3168, Australia.	[2801350665, 56590836]	['2801350665 - Monash Medical Centre', '56590836 - Monash University']	Monash University	Monash Medical Centre	cwts_multi_inst_related
W2124973240	Department of Medicine, Monash Medical Center, Monash University, Clayton, Victoria, Australia	[2801350665, 56590836]	['2801350665 - Monash Medical Centre', '56590836 - Monash University']	Monash University	Monash Medical Centre	cwts_multi_inst_related
W15923628	Centre for Inflammatory Diseases, Monash University Department of Medicine, Monash Medical Centre, Clayton, Victoria, Australia.	[2801350665, 56590836]	['2801350665 - Monash Medical Centre', '56590836 - Monash University']	Monash University	Monash Medical Centre	cwts_multi_inst_related
W2019287165	Monash University Department of Medicine, Centre for Inflammatory Diseases, Monash Medical Centre, Clayton, Australia	[2801350665, 56590836]	['2801350665 - Monash Medical Centre', '56590836 - Monash University']	Monash University	Monash Medical Centre	cwts_multi_inst_related
W1623244925	The Whiteley-Martin Research Centre Discipline of Surgery The University of Sydney Nepean Hospital Penrith New South Wales Australia	[2801688508, 129604602]	['2801688508 - Nepean Hospital', '129604602 - University of Sydney']	University of Sydney	Nepean Hospital	cwts_multi_inst_related
W1995186901	Centre for Immunology and Cancer Research, University of Queensland, Princess Alexandra Hospital, Woolloongabba, Queensland, 4102, Australia	[2801814493, 165143802]	['2801814493 - Princess Alexandra Hospital', '165143802 - University of Queensland']	University of Queensland	Princess Alexandra Hospital	cwts_multi_inst_related
W3132002689	Children's Medical Research Institute, Sydney University, Westmead, NSW, Australia.	[146584863, 129604602]	["146584863 - Children's Medical Research Institute", '129604602 - University of Sydney']	University of Sydney	Children's Medical Research Institute	cwts_multi_inst_related
W1992566907	From the University of Western Australia, School of Medicine and Pharmacology, Fremantle Hospital, Fremantle, Western Australia, Australia.	[2802692842, 177877127]	['2802692842 - Fremantle Hospital', '177877127 - University of Western Australia']	University of Western Australia	Fremantle Hospital	cwts_multi_inst_related
W2086439229	Sexually Transmitted Infections Research Centre, The University of Sydney, Marian Villa, Westmead Hospital, Westmead NSW 2145, Australia.	[2803024705, 129604602]	['2803024705 - Westmead Hospital', '129604602 - University of Sydney']	University of Sydney	Westmead Hospital	cwts_multi_inst_related
W1520258172	Department of Gastroenterology, St Vincent's Hospital, The University of Melbourne, Fitzroy, Vic., Australia	[4210087110, 165779595]	["4210087110 - St Vincent's Hospital", '165779595 - University of Melbourne']	University of Melbourne	St Vincent's Hospital	cwts_multi_inst_related
W1919006450	Department of Infectious Diseases, St Vincent's Hospital, Melbourne and Victoria Pde, Fitzroy, Victoria, Australia	[4210087110]	["4210087110 - St Vincent's Hospital"]	University of Melbourne	St Vincent's Hospital	cwts_multi_inst_related
W2167785396	Centre for Eye Research Australia, Royal Victorian Eye and Ear#N#                    Hospital, University of Melbourne, Melbourne, Australia	[4210105949, 165779595]	['4210105949 - Centre for Eye Research Australia']	University of Melbourne	The Royal Victorian Eye & Ear Hospital	cwts_multi_inst_related
W2087925434	Cardiology Unit, The Queen Elizabeth Hospital, Discipline of Medicine, University of Adelaide, South Australia, Australia.	[4210099777, 5681781]	['4210099777 - Queen Elizabeth Hospital', '5681781 - University of Adelaide']	University of Adelaide	Queen Elizabeth Hospital	cwts_multi_inst_related
W1999146911	Department of Paediatric Surgery, Sydney Children's Hospital Randwick, University of New South Wales, Sydney 2031, Australia	[4210125633, 31746571]	["4210125633 - Sydney Children's Hospital", '31746571 - UNSW Sydney']	UNSW Sydney	Sydney Children's Hospital	cwts_multi_inst_related
W3042730884	Department of Urology, Austin Health University of Melbourne Melbourne Australia	[4210163497, 165779595]	['4210163497 - Austin Health', '165779595 - University of Melbourne']	University of Melbourne	Austin Health	cwts_multi_inst_related
W2736428801	Epilepsy Research Centre, Department of Medicine, Austin Health; University of Melbourne; Melbourne Victoria Australia	[4210163497, 165779595]	['4210163497 - Austin Health', '165779595 - University of Melbourne']	University of Melbourne	Austin Health	cwts_multi_inst_related
W2093198013	Pediatric Liver Transplant Program, Université Catholique de Louvain, Saint‐Luc University Clinics, Brussels, Belgium	[1315288073, 95674353]	['1315288073 - Cliniques Universitaires Saint-Luc', '95674353 - Université Catholique de Louvain']	Université Catholique de Louvain	Cliniques Universitaires Saint-Luc	cwts_multi_inst_related
W2107999164	Laboratoire de Référence MRSA-Staphylocoques, Department of Microbiology, Erasme Hospital-Université Libre de Bruxelles, Brussels, Belgium.	[132053463, 2802054198]	['132053463 - Université Libre de Bruxelles']	Université Libre de Bruxelles	Erasmus Hospital	cwts_multi_inst_related
W2593736810	Multidisciplinary Breast Clinic, Antwerp University Hospital – University of Antwerp, Edegem, Belgium	[4210102047, 149213910]	['4210102047 - Antwerp University Hospital', '149213910 - University of Antwerp']	University of Antwerp	Antwerp University Hospital	cwts_multi_inst_related
W2396958414	Clinical Chemistry Department, University of Liège, University Hospital, Sart-Tilman, Liège, Belgium.	[157674565, 4210134544]	['157674565 - University of Liège']	University of Liège	Centre Hospitalier Universitaire de Liège	cwts_multi_inst_related
W3197354358	Department of Respiratory Medicine, Saint-Pierre University Hospital, Université Libre de Bruxelles (ULB), Brussels, Belgium.	[132053463, 4210154425]	['132053463 - Université Libre de Bruxelles', '4210154425 - Centre Hospitalier Universitaire de Saint-Pierre']	Université Libre de Bruxelles	Centre Hospitalier Universitaire de Saint-Pierre	cwts_multi_inst_related
W3107368255	Department of Genetics, UFRGS, Medical Genetics Service, HCPA, BioDiscovery Laboratory, HCPA, Hospital de Clínicas de Porto Alegre, National Institute of Population Medical Genetics - INAGEMP, Porto Alegre, RS 90035-903, Brazil	[4210126393, 4210097146, 130442723]	['4210126393 - National Institute on Population Medical Genetics', '4210097146 - Hospital de Clínicas de Porto Alegre']	Federal University of Rio Grande do Sul	Hospital de Clínicas de Porto Alegre	cwts_multi_inst_related
W2068075231	Infectious Diseases Unit at University Hospital Pedro Ernesto, Faculty of Medical Sciences, State University of Rio de Janeiro /UERJ – RJ, Brazil., Rio de Janeiro, Brazil	[4210099359, 40034438]	['4210099359 - Hospital Universitário Pedro Ernesto']	Rio de Janeiro State University	Hospital Universitário Pedro Ernesto	cwts_multi_inst_related
W1998337080	Department of Internal Medicine, Service of Endocrinology, Clementino Fraga Filho University Hospital, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil	[4210138087, 122140584]	['4210138087 - Hospital Universitário Clementino Fraga Filho', '122140584 - Federal University of Rio de Janeiro']	Federal University of Rio de Janeiro	Hospital Universitário Clementino Fraga Filho	cwts_multi_inst_related
W2113565490	Department of Atherosclerosis, Heart Institute of the University of Sao Paulo, Sao Paulo, Brazil	[17974374, 4210145268]	['17974374 - Universidade de São Paulo']	Universidade de São Paulo	Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo	cwts_multi_inst_related
W2113565490	Department of Atherosclerosis, Heart Institute of the University of Sao Paulo, Sao Paulo, Brazil	[17974374, 4210145268]	['17974374 - Universidade de São Paulo']	Universidade de São Paulo	Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo	cwts_multi_inst_related
W2113565490	Department of Atherosclerosis, Heart Institute of the University of Sao Paulo, Sao Paulo, Brazil	[17974374, 4210145268]	['17974374 - Universidade de São Paulo']	Universidade de São Paulo	Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo	cwts_multi_inst_related
W2113565490	Department of Atherosclerosis, Heart Institute of the University of Sao Paulo, Sao Paulo, Brazil	[17974374, 4210145268]	['17974374 - Universidade de São Paulo']	Universidade de São Paulo	Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo	cwts_multi_inst_related
W2562649073	Division of Rheumatology, St Joseph's Healthcare, McMaster University, Hamilton.	[59293822, 98251732]	['59293822 - St. Joseph’s Healthcare Hamilton']	McMaster University	St. Joseph’s Healthcare Hamilton	cwts_multi_inst_related
W2107127950	Department of Physiology & Pharmacology, Lawson Health Research Institute, University of Western Ontario, Canada	[131944076, 125749732]	['131944076 - Lawson Health Research Institute', '125749732 - Western University']	Western University	Lawson Health Research Institute	cwts_multi_inst_related
W2013687076	Department of Paediatrics, Mt Sinai Hospital, University of Toronto, Toronto, Canada	[1291836623, 185261750]	['1291836623 - Mount Sinai Hospital', '185261750 - University of Toronto']	University of Toronto	Mount Sinai Hospital	cwts_multi_inst_related
W1984939073	University of Toronto Centre for Minimally Invasive Surgery, St. Michael’s Hospital, University of Toronto, Toronto, Canada	[1297363086, 185261750]	["1297363086 - St. Michael's Hospital", '185261750 - University of Toronto']	University of Toronto	St. Michael's Hospital	cwts_multi_inst_related
W2606607892	Department of Medicine, Division of Cardiology, St Michael’s Hospital, Toronto, Canada	[1297363086]	["1297363086 - St. Michael's Hospital"]	St. Michael's Hospital	University of Toronto	cwts_multi_inst_related
W2886698772	Departments of Anesthesia and Physiology and Li Ka Shing Knowledge Institute of St. Michael's Hospital, University of Toronto, St. Michael's Hospital, 30 Bond Street, Toronto, ON, Canada.	[1297363086, 185261750]	["1297363086 - St. Michael's Hospital", '185261750 - University of Toronto']	University of Toronto	St. Michael's Hospital	cwts_multi_inst_related
W2793366594	Sunnybrook Health Sciences Centre, Odette Cancer Centre, University of Toronto, Toronto, ON, Canada;	[1323843004, 185261750]	['1323843004 - Sunnybrook Health Science Centre', '2802362269 - Health Sciences Centre']	University of Toronto	Sunnybrook Health Science Centre	cwts_multi_inst_related
W2612093820	Sunnybrook Research Institute, University of Toronto Hurvitz Brain Sciences Program Toronto Canada	[1323843004, 185261750]	['1323843004 - Sunnybrook Health Science Centre', '185261750 - University of Toronto']	University of Toronto	Sunnybrook Research Institute	cwts_multi_inst_related
W3129963987	Division of Hematology Department of Medicine University Health Network University of Toronto  Toronto ON Canada	[1325899441, 185261750]	['1325899441 - University Health Network', '185261750 - University of Toronto']	University of Toronto	University Health Network	cwts_multi_inst_related
