,Unnamed: 0,labels,affiliation_string,paper_id,dataset
0,7539,107639228,University of Notre Dame-Mendoza College of Business,W2137582495,muestra_authorship
1,6542,4210102755,"Centro Internacional de Métodos Computacionales en Ingenierı´a (CIMEC-INTEC), Universidad Nacional del Litoral (UNL), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Güemes 3450, S3000GLN, Santa Fe, Argentina",W2002813019,muestra_authorship
2,3023,3130805194,"Centro de Investigacion Veterinaria de Tandil, Facultad de Ciencias Veterinarias, Universidad Nacional del Centro de la Provincia de Buenos Aires, Tandil, Argentina",W3026900421,muestra_authorship
3,6898,151201029,"NCAR, P.O. Box 3000, Boulder, Colorado 80307-3000, USA",W1964422437,muestra_authorship
4,1430,189075073,"Institute of Materials Science and Technology (INTEMA), National Research Council-National University of Mar del Plata (CONICET-UNMdP), Juan B. Justo 4302, Mar del Plata, Argentina",W2052732316,muestra_authorship
5,5875,39553462,"CONICET, Gabinete de Neotectónica y Geomorfología, INGEO. Facultad de Ciencias Exactas, Físicas y Naturales, Universidad Nacional de San Juan. Av. José I. de la Roza y Meglioli Rivadavia, San Juan, Argentina",W1966886227,muestra_authorship
6,3362,4210137987,"Department of Systematic & Evolutionary Botany, University of Zurich, Zollikerstrasse 107, 8008 Zurich, Switzerland University of Zürich Zurich Switzerland.",W4292648769,muestra_authorship
7,2335,4210151079,"Instituto Multidisciplinario de Biología Vegetal (IMBIV), Universidad Nacional de Córdoba (UNC), CONICET, Centro de Investigaciones Entomológicas de Córdoba FCEFyN Córdoba Argentina",W3020739539,muestra_authorship
8,1348,151201029,Unidad Ejecutora Lillo Fundación Miguel Lillo CONICET Miguel Lillo 251 4000 San Miguel de Tucumán Argentina,W2620620902,muestra_authorship
9,1582,4210151079,"Museo CORD, IMBIV, UNC, CONICET, FCEFyN",W4395356707,muestra_authorship
10,3297,4210109836,"La Plata, Instituto de Física",W1975068428,muestra_authorship
11,5676,53241121,"Grupo de Estudio de Insectos Sociales, IFIBYNE–CONICET, Departamento de Fisiología, Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Pabellón II, Ciudad UniversitariaC1428EHA Buenos Aires, Argentina",W2129551485,muestra_authorship
