paper_id	affiliation_string	labels	labels_name	dataset
7488165	Valparaiso University	[149744451]	['149744451 - Valparaiso University']	sampled_200_head
31098178	Laboratory of Metallurgy, Helsinki University of Technology; PO Box 6200 02015 TKK Finland	[-1]	['-1 - None']	sampled_200_head
31098178	Pyrometallurgy Research Centre, University of Queensland; Brisbane Australia	[165143802]	['165143802 - University of Queensland']	sampled_200_head
65114316	Institut für Physikalische Chemie, Freie Universität Berlin, Berlin 33, Deutschland	[75951250]	['75951250 - Freie Universität Berlin']	sampled_200_head
65114316	Institut für Organische Chemie, Freie Universität Berlin, Berlin 33, Deutschland	[75951250]	['75951250 - Freie Universität Berlin']	sampled_200_head
75974727	Bar-Ilan University	[13955877]	['13955877 - Bar-Ilan University']	sampled_200_head
117340222	European Centre for Nanostructured Polymers, UdR INSTM, University of Perugia, Terni, Italy	[4210117864, 27483092, 4210155898]	['4210117864 - European Center for Nanostructured Polymers', '27483092 - University of Perugia']	sampled_200_head
144950851	Department of Applied Computing and Mathematics (DACAM), Cranfield Institute of Technology, Cranfield, Bedford, England	[82284825]	['82284825 - Cranfield University']	sampled_200_head
225512608	History in New York University	[57206974]	['57206974 - New York University']	sampled_200_head
227551380	IM Setchenov Medical Academy	[17877952]	['-1 - None']	sampled_200_head
227551380	Laboratory of Cell Immunity	[-1]	['4210109573 - Immunity and Cancer']	sampled_200_head
227551380	EA Vagner Perm Medical Academy	[4210088483]	['4210088483 - Perm State Medical Academy']	sampled_200_head
286745009	Univ.-Hals-, Nasen- und Ohrenklinik Rostock, Deutschland	[4210136182]	['4210136182 - Universitätsmedizin Rostock']	sampled_200_head
297229595	National Centre for Scientific Research (CNIC)	[4210097719]	['4210097719 - National Council for Scientific Research']	sampled_200_head
297229595	National Centre for Metallurgical Research (CENIM-CSIC	[-1]	['-1 - None']	sampled_200_head
572544152	大分大学大学院	[-1]	['-1 - None']	sampled_200_head
572544152	大分大学	[-1]	['-1 - None']	sampled_200_head
572544152	大分工業高等専門学校	[-1]	['-1 - None']	sampled_200_head
775947285	University of Salzburg;	[182212641]	['182212641 - University of Salzburg']	sampled_200_head
775947285	St. Anna Children’s Hospital, Endoscopy Unit	[4210123554]	["4210123554 - St Anna Children's Hospital"]	sampled_200_head
846706330	Ball Bros. Research Corp. Boulder, CO, United States	[4210132373]	['4210132373 - Ball']	sampled_200_head
1087943175	Apollo Hospital; Nizam’s Institute of Medical Sciences	[139669409]	["139669409 - Nizam's Institute of Medical Sciences"]	sampled_200_head
1483516959	Faculty of Health and Medical Sciences, University of Surrey, Guildford, GU2 7XH, Surrey, UK.	[28290843]	['28290843 - University of Surrey']	sampled_200_head
1486801540	College Of William and Mary	[16285277]	['16285277 - William & Mary']	sampled_200_head
1488637294	World Health Organization, , Ginebra, Suiza	[4210105654]	['1290603121 - World Health Organization - Pakistan']	sampled_200_head
1516392471	Department of Medicine, Harvard Medical School, Boston, Massachusetts	[136199984]	['136199984 - Harvard University']	sampled_200_head
1583215525	Dept. of Mech. Eng., Laval Univ., Quebec City, QC, Canada	[43406934]	['43406934 - Université Laval']	sampled_200_head
1598363147	Department of biology, McGill University, Montréal, Canada	[5023651]	['5023651 - McGill University']	sampled_200_head
1602265626	Pamukkale Üniversitesi	[48843708]	['48843708 - Pamukkale University']	sampled_200_head
1788277699	School of Knowledge Science, Japan Advanced Institute of Science and Technology (JAIST)	[177738480]	['177738480 - Japan Advanced Institute of Science and Technology']	sampled_200_head
1788277699	Algorithms, Bioinformatics, Complexity and Formal Methods Research Group, Technical University of Catalonia	[9617848]	['-1 - None']	sampled_200_head
1865222586	[Raytheon BBN Technologies]	[1306686416]	['1306686416 - Raytheon Technologies']	sampled_200_head
1873925860	Fac. of Electr. Eng. & Comput. Sci., Maribor Univ., Slovenia	[37696226]	['37696226 - University of Maribor']	sampled_200_head
1899385039	queen mary university of london	[166337079]	['166337079 - Queen Mary University of London']	sampled_200_head
1956226217	State Key Laboratory of Optical Technologies on Nano‐Fabrication and Micro‐Engineering Institute of Optics and Electronics Chinese Academy of Sciences Chengdu China	[4210128284,19820366]	['4210128284 - Institute of Optics and Electronics']	sampled_200_head
1962768148	[Demetron]	[-1]	['-1 - None']	sampled_200_head
1962768148	Demetron GmbH	[-1]	['-1 - None']	sampled_200_head
1966606422	SungKyunKwan University	[848706]	['848706 - Sungkyunkwan University']	sampled_200_head
1966606422	Korea University	[-1]	['4210161052 - Korea University']	sampled_200_head
1966606422	School of Biological Sciences	[-1]	['-1 - None']	sampled_200_head
2115987049	School of Biological Sciences	[-1]	['-1 - None']	sampled_200_head
1966606422	School of Biological Sciences	[-1]	['-1 - None']	sampled_200_head
2115987049	School of Biological Sciences	[-1]	['-1 - None']	sampled_200_head
1967643335	Department of Plastics and Rubber , Technology University Colleges of Science and Technology , Calcutta, 700009, India	[106542073]	['106542073 - University of Calcutta']	sampled_200_head
1970515032	Department of Microbiology & Immunology, Geisel School of Medicine at Dartmouth, Hanover, New Hampshire, USA.	[107672454]	['107672454 - Dartmouth College']	sampled_200_head
1970515032	University of Toronto, Department of Molecular Genetics and Department of Biochemistry, Toronto, Ontario, Canada	[185261750]	['185261750 - University of Toronto']	sampled_200_head
1970515032	Geisel School of Medicine at Dartmouth Department of Microbiology and Immunology Hanover New Hampshire USA	[107672454]	['107672454 - Dartmouth College']	sampled_200_head
1970552986	Kantonsspitals Winterthur, Schweiz; Pathologischen Instituten der Universität Zürich, Schweiz	[4210099681,202697423]	['-1 - None']	sampled_200_head
1973879028	School of Physics Science and Technology, Nanjing Normal University, Nanjing#N#210097,#N#People’s Republic of China	[152031979]	['152031979 - Nanjing Normal University']	sampled_200_head
1973879028	Department of Applied Physics, College of Science, South China Agricultural University,#N#Guangzhou 510640,#N#People’s Republic of China; State Key Laboratory of Optoelectronic Materials and Technologies, School of Physics and#N#Engineering, Sun Yat-sen University, Guangzhou 510275,#N#People’s Republic of China	[101479585, 157773358]	['101479585 - South China Agricultural University', '157773358 - Sun Yat-sen University']	sampled_200_head
1976146921	Department of Food, Agricultural and Biological Engineering, The Ohio State University, Columbus OH 43210-1057.	[52357470]	['52357470 - The Ohio State University']	sampled_200_head
1976146921	Advanced Foods Branch, Sustainability Directorate, U.S. Army Natick RD&E Center SSCOM, Natick MA 01760-5018. Corresponding author. Phone: 508/233-4516. Fax: 508/233-5274. E-mail: abarrett@natick-enh2.army.mil	[2799998900]	['-1 - None']	sampled_200_head
1976823878	Departamento de Física , Universidad de Extremadura , E-06071 Badajoz, Spain	[80606768]	['80606768 - University of Extremadura']	sampled_200_head
1976823878	Institute for Theoretical Physics, Utrecht University, P.O. Box 80006, 3508 TA Utrecht, The Netherlands	[193662353]	['193662353 - Utrecht University']	sampled_200_head
1977345310	Department of Oncology, University & General Hospital, Udine, Italy.	[129043915,4210126152]	['129043915 - University of Udine']	sampled_200_head
1977345310	Department of Oncology, University & General Hospital, Pisa, Italy	[4210165410]	['4210165410 - Azienda Ospedaliera Universitaria Pisana']	sampled_200_head
1979005502	Dept. of Electron. Syst., R. Inst. of Technol., Stockholm, Sweden	[86987016]	['86987016 - Royal Institute of Technology']	sampled_200_head
1979005502	School of Computer, National University of Defense, Technology Changsha, China	[170215575]	['170215575 - National University of Defense Technology']	sampled_200_head
1979614584	I. V. Kurchatov Atomic Energy Institute, Academy of Sciences, Moscow, USSR††Present address: Institute of Nuclear Physics, Academy of Sciences, Novosibirsk, USSR.	[2800235667]	['2800235667 - Kurchatov Institute']	sampled_200_head
1980303101	Centro de Biología Molecular Severo Ochoa, Consejo Superior de Investigaciones Cientificas (CSIC)/Universidad Autonoma de Madrid (UAM), Madrid, Spain.	[4210146061, 63634437, 134820265]	['4210146061 - Centro de Biología Molecular Severo Ochoa', '63634437 - Autonomous University of Madrid', '134820265 - Spanish National Research Council']	sampled_200_head
1980614178	Griffith University BrisbaneAustralia	[11701301]	['11701301 - Griffith University']	sampled_200_head
1985696127	University of Iowa	[126307644]	['126307644 - University of Iowa']	sampled_200_head
1986447712	College of Information Science & Engineering, Central South University, Changsha, P.R. China	[139660479]	['139660479 - Central South University']	sampled_200_head
1987481834	Division of Hospital Infection, Central Public Health Laboratory, Colindale, London.	[-1]	['-1 - None']	sampled_200_head
1987538116	Rutherford Appleton Lab. (UK) and Kumho Institute of Science and Technology (South Korea)	[1286704778]	['-1 - None']	sampled_200_head
1987538116	Rutherford Appleton Lab. (UK) and Kumho Information and Telecommunication Lab. (South Korea)	[1286704778]	['1286704778 - Rutherford Appleton Laboratory']	sampled_200_head
1987538116	Rutherford Appleton Lab. (United Kingdom)	[1286704778]	['1286704778 - Rutherford Appleton Laboratory']	sampled_200_head
1989849806	Dept of Urology, Inje University, Seoul, South Korea	[104338594]	['104338594 - Inje University']	sampled_200_head
1990580906	School of Engineering of Universidad Pontificia Comillas, C/Alberto Aguilera, 23, 28015 Madrid, Spain	[96580804]	['96580804 - Comillas Pontifical University']	sampled_200_head
1990967700	Department of Industrial Chemistry, Engineering College, Kyungpook National University, Taegu 702-701, South Korea	[31419693]	['31419693 - Kyungpook National University']	sampled_200_head
1991257623	Depto de Ciencias Fisiológicas, Facultad de Ciencias Biológicas, Pontificia Universidad Católica de Chile, Casilla 114-D, Santiago, Chile	[162148367]	['162148367 - Pontificia Universidad Católica de Chile']	sampled_200_head
1991257623	Instituto de Ciencias Biomédicas, Facultad de Medicina Universidad de Chile, Santiago 6530499, Chile, the	[69737025]	['69737025 - University of Chile']	sampled_200_head
1991257623	Departments of Pharmacology and	[-1]	['-1 - None']	sampled_200_head
1991257623	Physiology and Cell Biology, Center of Biomedical Research Excellence, University of Nevada, School of Medicine, Reno, Nevada 89557, and the	[134113660]	['134113660 - University of Nevada Reno']	sampled_200_head
1991945750	Institut fur Kristallographie der , Universitat zu Koln	[180923762]	['180923762 - University of Cologne']	sampled_200_head
1991945750	IV. Physikalisches Institut der Universität Göttingen	[74656192]	['74656192 - University of Göttingen']	sampled_200_head
1995070659	 Department of Materials Science & Engineering, University of Toronto, Toronto, ON, Canada	[185261750]	['185261750 - University of Toronto']	sampled_200_head
1996536401	Russian Academy of Sciences	[1313323035]	['-1 - None']	sampled_200_head
1996727984	Department of Neurology, University Hospital (CHUV), Lausanne, Switzerland.	[2802229882]	['2802229882 - University Hospital of Lausanne']	sampled_200_head
2013380405	Laboratoire de l’Accélérateur Linéaire	[4210144781]	['4210144781 - Large Heavy Ion National Accelerator']	sampled_200_head
2013380405	Royal Holloway University of London	[184558857]	['184558857 - Royal Holloway University of London']	sampled_200_head
2013776763	Sch. of Electron. Inf. & control Eng., Beijing Univ. of Technol., Beijing, China	[37796252]	['37796252 - Beijing University of Technology']	sampled_200_head
2015902999	University of Miami Miller School of Medicine  Miami Florida USA	[145608581]	['145608581 - University of Miami']	sampled_200_head
2015902999	Psychiatry and Behavioral Sciences	[-1]	['4210131307 - Institute of Behavioral Sciences']	sampled_200_head
2016392562	Universidad de Tarapacá, Arica, Chile	[185652977]	['185652977 - University of Tarapacá']	sampled_200_head
2016589759	Department of Radiology, The University of Texas Health Science Center, 7703 Floyd Curl Drive, San Antonio, Texas 78284 USA.	[16452829, 4210159031]	['16452829 - The University of Texas System', '4210159031 - The University of Texas Health Science Center']	sampled_200_head
2016589759	Department of Cellular and Structural Biology, The University of Texas Health Science Center, 7703 Flyod Curl Drive, San Antonio, Texas 78284 USA.	[16452829, 4210159031]	['16452829 - The University of Texas System', '4210159031 - The University of Texas Health Science Center']	sampled_200_head
2018045047	Univ.\ of Tokyo	[74801974]	['-1 - None']	sampled_200_head
2018045047	Medical Chemistry	[-1]	['-1 - None']	sampled_200_head
2020402472	Marseille – France	[-1]	['-1 - None']	sampled_200_head
2021367894	Alcan International Ltd, Southam Road, Banbury , GB-Oxon, 0X16 7SP, Great-Britain	[-1]	['-1 - None']	sampled_200_head
2025007323	Department of Chemistry, University of Georgia, Athens, 30602 USA	[165733156]	['165733156 - University of Georgia']	sampled_200_head
2026014239	 Cardiac Electrophysiology Research and Training Center, Chiang Mai University, Chiang Mai, Thailand.	[48076826]	['48076826 - Chiang Mai University']	sampled_200_head
2028881138	Seoul National Univ.#TAB#	[139264467]	['139264467 - Seoul National University']	sampled_200_head
2034626890	Canadian Center of Science and Education	[-1]	['-1 - None']	sampled_200_head
2035860654	University of Sydney, Australia;	[129604602]	['129604602 - University of Sydney']	sampled_200_head
2045900008	REQUIMTE, Departamento de Química, Faculdade de Ciências, Universidade do Porto , Rua do Campo Alegre S/N, 4169-007 Porto, Portugal.	[182534213, 4210138594]	['182534213 - University of Porto', '4210138594 - Rede de Química e Tecnologia']	sampled_200_head
2045900008	Laboratório de Catálise e Materiais – Laboratório Associado LSRE/LCM, Faculdade de Engenharia, Universidade do Porto, Rua Dr. Roberto Frias, s/n, 4200-465 Porto, Portugal	[182534213]	['182534213 - University of Porto']	sampled_200_head
2045900008	REQUIMTE, Departamento de Química, Faculdade de Ciências, Universidade do Porto, Rua do Campo Alegre, s/n, 4169-007 Porto, Portugal	[182534213, 4210138594]	['182534213 - University of Porto', '4210138594 - Rede de Química e Tecnologia']	sampled_200_head
2048917075	Laboratory of Gynecological Physiopathology, Department of Obstetrics and Gynecology (K.U.L.), Academisch Ziekenhuis St. Rafaël, Leuven, Belgium	[2800231306]	['2800231306 - Universitair Ziekenhuis Leuven']	sampled_200_head
2052470202	U.S. Air Force, Dental Corps, Wilford Hall USAF Medical Center, Lackland Air Force Base, Texas 78236-5300.	[2799567722,4210089612]	['4210089612 - United States Air Force']	sampled_200_head
2052470202	Dr. Wood is lieutenant colonel, U.S. Air Force, Dental Corps, and assistant chairman, Department of Orthodontics, Wilford Hall Medical Center, Lackland Air Force Base.	[2799567722,4210089612]	['2799567722 - Wilford Hall Medical Center']	sampled_200_head
2052487294	Department of Bioagricultural Sciences, National Chiayi University, Chiayi, Taiwan	[183570559]	['183570559 - National Chiayi University']	sampled_200_head
2053244440	Institut für Festkörperphysik, Technische Universität Berlin, Hardenbergstr. 36 10623 Berlin, Germany	[4577782]	['4577782 - Technical University of Berlin']	sampled_200_head
2053244440	Institut für Experimentelle Physik, Otto-von-Guericke Universität Magdeburg, Universitätsplatz 2, 39106 Magdeburg, Germany.	[95793202]	['95793202 - Otto-von-Guericke University Magdeburg']	sampled_200_head
2056709992	Coordination Chemistry Institute, State Key Laboratory of Coordination Chemistry, Nanjing University, Centre for Advanced Studies in Science and Technology of Microstructures, Nanjing, China	[4210140493, 881766915]	['4210140493 - Collaborative Innovation Center of Advanced Microstructures', '881766915 - Nanjing University']	sampled_200_head
2066216045	Ph. D., American University in Cairo and Suez Canal University	[114794399,80693520]	['114794399 - Suez Canal University']	sampled_200_head
2066216045	B.Sc. Petrobel Company	[-1]	['4210093312 - Defence Bioengineering and Electromedical Laboratory']	sampled_200_head
2074584152	Division of Plastic Surgery, University of Miami School of Medicine, Miami Children's Hospital, Fla 33125, USA.	[4210118328, 4210146630,145608581]	['4210118328 - University of Miami Hospital', "4210146630 - Miami Children's Hospital"]	sampled_200_head
